id;college_name;logo_file_path;logo_file_name;logo_file_extension;created_by;created_on;updated_by;updated_on;status
1;card Licensed Cotton Ball;mindshare Gorgeous;Chips;navigating;Som Rustic Frozen Keyboard ROI;2019-11-14;Handmade Tuna;2019-11-14;invoice
2;alarm Jamaica;system Gorgeous Rubber Pants;hack;leading-edge;Ergonomic Steel Gloves;2019-11-14;Colombian Peso Unidad de Valor Real Bridge Handmade;2019-11-14;Hollow Shoes systems
3;Generic Frozen Tuna HTTP;implement;Optimization Cambridgeshire;payment Soap;Web;2019-11-14;COM;2019-11-14;multi-byte Jamaican Dollar North Carolina
4;Station;parsing Investment Account;Branding Dynamic black;yellow;Books Generic;2019-11-14;Handcrafted Plastic Shirt quantifying;2019-11-15;open-source hybrid
5;Solomon Islands Dollar;Personal Loan Account HTTP;schemas Specialist China;quantify multi-byte;interface Cotton Robust;2019-11-14;JSON Texas;2019-11-15;Dobra application
6;Fantastic;Liechtenstein Buckinghamshire monetize;Direct;Small Frozen Salad bypassing;time-frame Quality;2019-11-14;Missouri deposit;2019-11-14;methodical
7;Pakistan;parse;neural Wooden Optimization;Tasty Rubber Car mindshare EXE;bandwidth Liaison;2019-11-14;generating SDD bypassing;2019-11-14;Centralized revolutionize International
8;Sleek;Visionary;exploit transition;User-centric Principal Pennsylvania;repurpose Sleek;2019-11-14;Oklahoma communities;2019-11-14;Cotton
9;Advanced grow;Handmade Wooden Cheese Fresh;input Naira;Markets;Glen Refined;2019-11-14;web services;2019-11-14;Strategist
10;Incredible Fresh Car Tuvalu;Senior Optional Yemeni Rial;Central African Republic;magenta heuristic;Credit Card Account Maryland Legacy;2019-11-15;web-enabled Brand Regional;2019-11-14;Money Market Account
